Player,Goals,First,Latest,Gender
Abby Wambach,167,2001,2013,Female
Mia Hamm,158,1987,2004,Female
Kristine Lilly,130,1987,2010,Female
Michelle Akers,105,1985,2000,Female
Tiffeny Milbrett,100,1992,2006,Female
Cindy Parlow,75,1995,2006,Female
Shannon MacMillan,60,1994,2006,Female
Landon Donovan,57,25-Oct-00,10-Sep-13,Male
Carin Jennings-Gabarra,53,1987,1996,Female
Carli Lloyd,50,2005,2005,Female
Alex Morgan,46,2010,2013,Female
Clint Dempsey,39,28-May-05,22-Jun-14,Male
Eric Wynalda,34,4-Feb-90,12-Feb-00,Male
Brian McBride,30,3-Nov-96,28-May-06,Male
Joe-Max Moore,24,31-Jan-93,7-Oct-01,Male
Jozy Altidore,23,6-Feb-08,7-Jun-14,Male
Bruce Murray,21,7-Feb-86,3-Mar-93,Male
Eddie Johnson,19,9-Oct-04,10-Sep-13,Male
DaMarcus Beasley,17,19-Jan-02,11-Oct-08,Male
Earnie Stewart,17,13-Jun-93,26-Jul-03,Male
Hugo Perez,14,4-Apr-85,26-Mar-94,Male
