Player,Goals,First,Latest,Gender,Vid
Abby Wambach,167,2001,2013,Female,jCar99nTSxA
Mia Hamm,158,1987,2004,Female,daVcy0Zvb0U
Kristine Lilly,130,1987,2010,Female,j5yiX0JYqB8
Michelle Akers,105,1985,2000,Female,2S_GDZVW5AQ
Tiffeny Milbrett,100,1992,2006,Female,IErKhdQt_8c
Cindy Parlow,75,1995,2006,Female,_Qo6CFf5vWU
Shannon MacMillan,60,1994,2006,Female,ctzOPOD_Lwg
Landon Donovan,57,25-Oct-00,10-Sep-13,Male,mRWHkER_Ou4
Carin Jennings-Gabarra,53,1987,1996,Female,null
Carli Lloyd,50,2005,2005,Female,c4bHF5J2oOg
Alex Morgan,46,2010,2013,Female,MDV7irsmdw0
Clint Dempsey,39,28-May-05,22-Jun-14,Male,wlcQq2mOS10
Eric Wynalda,34,4-Feb-90,12-Feb-00,Male,0TIanG77z68
Brian McBride,30,3-Nov-96,28-May-06,Male,tOev7CzGu5k
Joe-Max Moore,24,31-Jan-93,7-Oct-01,Male,1nL1yRt849Q
Jozy Altidore,23,6-Feb-08,7-Jun-14,Male,MrAHC5B7USA
Bruce Murray,21,7-Feb-86,3-Mar-93,Male,null
Eddie Johnson,19,9-Oct-04,10-Sep-13,Male,AjmCOg14B5g
DaMarcus Beasley,17,19-Jan-02,11-Oct-08,Male,QslfCHkdojs
Earnie Stewart,17,13-Jun-93,26-Jul-03,Male,Fixaym_Rq-I
